Agent,Restaurant,Total Reward,Financial PM %,RL-Adj PM %,Service Level %,SL Std %,Waste %,Stockout %
Q-Learning,Star Kabab & Restaurant,-2269254.31,-442.99,-500.0,9.78,1.38,28.01,90.22
DQN,Star Kabab & Restaurant,-1495727.43,-500.0,-500.0,0.39,0.03,74.02,99.61
Double DQN,Star Kabab & Restaurant,-1353919.42,72.63,-500.0,0.39,0.03,28.49,99.61
PPO,Star Kabab & Restaurant,-2464993.41,-500.0,-500.0,5.46,0.17,45.85,94.54
EOQ,Star Kabab & Restaurant,-2853739.82,-500.0,-500.0,9.35,0.93,39.1,90.65
Newsvendor,Star Kabab & Restaurant,-2628810.14,-439.01,-500.0,13.81,1.02,25.73,86.19
SMA + Reorder,Star Kabab & Restaurant,-3014040.48,-500.0,-500.0,9.31,0.76,41.16,90.69
Seasonal Reorder,Star Kabab & Restaurant,-3041489.7,-377.02,-500.0,21.59,0.71,20.64,78.41
