Agent,Restaurant,Total Reward,Financial PM %,RL-Adj PM %,Service Level %,SL Std %,Waste %,Stockout %
Q-Learning,Fakruddin Restaurant,-3467015.81,-500.0,-500.0,21.0,2.08,17.05,79.0
DQN,Fakruddin Restaurant,-1428235.76,-143.41,-500.0,0.66,0.11,26.6,99.34
Double DQN,Fakruddin Restaurant,-1425836.53,-142.92,-500.0,0.65,0.08,26.28,99.35
PPO,Fakruddin Restaurant,-3550754.93,-500.0,-500.0,33.68,1.57,14.57,66.32
EOQ,Fakruddin Restaurant,-5264926.24,-500.0,-500.0,13.35,1.0,41.4,86.65
Newsvendor,Fakruddin Restaurant,-4178831.73,-500.0,-500.0,20.34,1.92,20.84,79.66
SMA + Reorder,Fakruddin Restaurant,-5649201.93,-500.0,-500.0,14.17,1.01,41.83,85.83
Seasonal Reorder,Fakruddin Restaurant,-5706466.89,-500.0,-500.0,41.47,1.48,15.89,58.53
