Agent,Restaurant,Total Reward,Financial PM %,RL-Adj PM %,Service Level %,SL Std %,Waste %,Stockout %
Q-Learning,Kachchi Bhai Restaurant,-2599172.65,-462.59,-500.0,11.53,1.34,7.7,88.47
DQN,Kachchi Bhai Restaurant,-1614113.25,24.69,-500.0,0.41,0.04,33.13,99.59
Double DQN,Kachchi Bhai Restaurant,-1607003.97,25.47,-500.0,0.41,0.04,32.71,99.59
PPO,Kachchi Bhai Restaurant,-2674715.59,-500.0,-500.0,11.33,0.48,13.24,88.67
EOQ,Kachchi Bhai Restaurant,-3352183.18,-500.0,-500.0,10.4,0.82,22.72,89.6
Newsvendor,Kachchi Bhai Restaurant,-3194725.52,-481.44,-500.0,16.09,1.73,8.87,83.91
SMA + Reorder,Kachchi Bhai Restaurant,-3549678.91,-500.0,-500.0,8.99,1.02,29.09,91.01
Seasonal Reorder,Kachchi Bhai Restaurant,-3459012.51,-417.27,-500.0,23.99,1.01,0.45,76.01
